sample_id,question,gold_answer,model_answer,human_correct,note
0,Did number of Imams Reza Shah believed in exceed number of Jesus's disciples?,no,"Based on the retrieved documents, the number of Jesus's disciples is twelve (the Twelve Apostles). The documents do not provide a specific number of Imams Reza Shah believed in. However, the Twelver branch of Shia Islam, which is the largest, believes in twelve Imams. Since no evidence indicates Reza Shah believed in more than twelve, the number of Imams Reza Shah believed in did not exceed the number of Jesus's disciples (12).",,
1,Who is the minister for defense in the country compared to a stringed agent while the country Chopin was invited to by the person paying for Chopin's funeral was compared to a lion?,"Leo Varadkar, TD",Leo Varadkar,1,
2,Does bull shark bite hurt worse than crocodile bite?,no,Yes,0,
3,Are Donkeys part of Christmas celebrations?,yes,Yes,1,
4,"What star of ""Piece of My Heart"" was born 24 March 1990?",Keisha Castle-Hughes,Keisha Castle-Hughes,1,
5,"Which Hawaii Democrat, and first American Samoan of the Unites States Congress, sponsored the ""Ending Federal Marijuana Prohibition Act of 2017""? ",Tulsi Gabbard,Tulsi Gabbard,1,
6,"The Royal Banner of the Royal Arms of Scotland, commonly the Lion Rampant of Scotland, and historically as the Royal Standard of Scotland, is the Royal Banner of Scotland, and historically, the Royal Standard of the Kingdom of Scotland, historically used by the King of Scots, the banner differs from Scotland's national flag, the Saltire, in that its correct use is restricted by an Act of the Parliament of Scotland to only a few Great Officers of State who officially represent the Sovereign in Scotland, which is called what, and is the constitutional monarchy of the United Kingdom, its dependencies and its overseas territories?",monarchy of the United Kingdom,"The United Kingdom, whose constitutional monarchy is the monarchy of the United Kingdom, governs the use of the Royal Banner of Scotland by the Bearer of the Royal Banner, one of the Great Officers of the Royal Household in Scotland.",1,
7,Are director of film The Others (2001 Film) and director of film Rokk Í Reykjavík both from the same country?,no,d i r e c t o r n a t i o n a l i t y,0,
8,Is the Sea of Japan landlocked within Japan?,no,"No, the Sea of Japan is not landlocked within Japan; it is connected to the Pacific Ocean through the Japanese archipelago.",1,
9,Gerald Williams' work has been influential within what Time magazine described as the single most controversial movement in the history of what?,African-American literature,Black Arts Movement,0,
10,Does Masaharu Morimoto rely on glutamic acid?,yes,Yes,1,
11,What national park contains Geology that shapes the Pacific Northwest region of the United Stated and Canada?,Lassen Volcanic National Park,Lassen Volcanic National Park,1,
12,Paper as we know it would not have been available in the continent where the mouth of Tikhaya Sosna exists until when?,the 11th century,until the 19th century,0,
13,Would Alexander Graham Bell hypothetically support Nazi eugenics?,yes,A l e x a n d e r G r a h a m B e l l ' s v i e w s o n e u g e n i c s,0,
14,King of the Jungle was a song written by the girl group formed in what city in 1981?,London,London,1,
15,In what year did Philip Shabecoff's employer start?,1851,1959,0,
16,Can a rabbi save the soul of a Christian?,yes,"Based on the retrieved documents, there is no evidence that a rabbi can save the soul of a Christian. The document 'Rabbi' defines a rabbi as a spiritual leader or religious teacher in Judaism, but does not mention any role in Christian salvation. Therefore, the available evidence does not support the claim that a rabbi can save a Christian's soul.",0,
17,In what war was the city containing Quba Mosque besieged?,World War I,World War I,1,
18,When did the country Wickramasinhapura is located leave the British Empire?,"February 4, 1948",Wickramasinhapura is located in Sri Lanka.,0,
19,Where did the director of film Charlotte Löwensköld (1930 Film) die?,Stockholm,"The director of Charlotte Löwensköld (1930 film) is Gustaf Molander. The retrieved documents do not specify his death place, so I cannot provide a grounded answer.",0,
20,Who did the performer of Should've Said No play in the Lorax?,Audrey,Taylor Swift is the performer of 'Should've Said No',0,
21,When did Alanders rejoin the country where the Embassy of France is found in the place of birth of Leif Westerberg?,December 1917,Unable to determine the date because no retrieved documents provide Leif Westerberg's birthplace or the relevant historical event.,0,
22,What part of Utah is the birthplace of Sarah Scherer?,Salt Lake City metropolitan area,Salt Lake City,1,
23,What indie rock group features Alan Sparhawk and formerly Zak Sally?,Low,Low,1,
24,What do Sergei Bondarchuk and James Cruze have in common?,was a silent film actor and film director,"Both Sergei Bondarchuk and James Cruze were prominent film directors in the early 20th century, known for their work in silent films.",1,
25,Would Paul Bunyan hypothetically be a poor choice for an urban planner?,yes,"Paul Bunyan would be a poor choice for an urban planner because his legendary status as a giant lumberjack in folklore lacks the analytical, regulatory, and community engagement skills required for urban planning roles.",1,
26,What is the genre of the record label of the band that performed Because We Can?,jaz,rock,0,
27,Are Donkeys part of Christmas celebrations?,yes,"Yes, donkeys are part of Christmas celebrations, often depicted in nativity scenes.",1,
28,When was the congressman who feuded with Louie Free released from prison?,"September 2, 2009",June 2008,0,
29,Were both Jean-Pierre Jeunet and Anthony Kimmins screenwriters?,yes,"Yes, both Jean-Pierre Jeunet and Anthony Kimmins were screenwriters.",1,
30,What is the date of death of the composer of song Dis Rien?,13 February 2008,13 February 2008,1,
31,"Which composer lived a longer life, Dmitri Shostakovich or Jules Massenet?",Jules Émile Frédéric Massenet,Dmitri Shostakovich,0,
32,Would 2019 Natalie Portman avoid a Snickers bar due to her diet?,yes,yes,1,
